customer_id,avg_session_time,pages_per_session,cart_abandon_rate,return_rate,support_tickets,review_score,behavior_churn_signal
CUST000205,12.23,13,0.4,0.03,6,2.34,0
CUST000206,16.25,24,0.0,0.17,8,2.59,0
CUST000207,11.21,8,0.92,0.17,7,2.39,1
CUST000208,15.01,14,0.45,0.11,7,2.81,1
CUST000209,3.68,11,0.18,0.25,10,2.68,0
CUST000210,18.38,13,0.36,0.29,2,3.53,0
CUST000211,1.25,5,0.66,0.09,9,4.84,0
CUST000212,3.82,13,0.41,0.04,9,4.99,0
CUST000213,10.54,1,0.6,0.03,1,4.0,0
CUST000214,4.99,5,0.9,0.1,7,1.76,1
CUST000215,1.69,9,0.47,0.28,6,1.26,1
CUST000216,15.74,15,0.45,0.26,5,2.76,0
CUST000217,8.61,13,0.56,0.08,4,1.73,0
CUST000218,17.37,14,0.95,0.19,4,2.08,0
CUST000219,13.24,16,0.41,0.01,0,1.62,0
CUST000220,14.6,2,0.66,0.01,5,1.89,1
CUST000221,5.39,3,0.67,0.01,10,1.42,1
CUST000222,16.2,1,0.18,0.33,3,1.95,1
CUST000223,2.89,1,0.24,0.36,9,4.42,1
CUST000224,16.77,5,0.4,0.33,7,1.82,0
CUST000225,6.57,19,0.9,0.01,3,1.34,1
CUST000226,4.95,9,0.03,0.09,5,3.33,1
CUST000227,9.01,20,0.89,0.41,1,2.37,0
CUST000228,5.93,6,0.38,0.3,4,2.07,1
CUST000229,12.86,1,0.41,0.28,4,2.74,0
CUST000230,6.59,13,0.95,0.38,6,1.56,0
CUST000231,17.5,7,0.49,0.45,1,4.2,0
CUST000232,9.08,21,0.02,0.13,3,3.17,0
CUST000233,13.04,25,0.26,0.07,4,4.34,0
CUST000234,19.7,20,0.53,0.09,1,2.09,0
CUST000235,1.35,19,0.91,0.06,0,3.31,1
CUST000236,6.21,14,0.55,0.33,10,4.32,0
CUST000237,4.92,17,0.01,0.07,10,4.6,1
CUST000238,17.6,14,0.6,0.3,7,3.66,0
CUST000239,4.33,12,0.91,0.21,10,2.53,0
CUST000240,10.86,15,0.05,0.08,2,3.95,0
CUST000241,2.57,24,0.6,0.12,8,2.56,0
CUST000242,6.49,9,0.36,0.36,9,2.19,0
CUST000243,11.76,18,0.48,0.33,7,4.75,0
CUST000244,14.92,24,0.21,0.02,9,2.05,1
CUST000245,12.31,8,0.05,0.25,1,3.39,0
CUST000246,7.35,15,0.77,0.05,3,1.3,0
CUST000247,14.84,19,0.5,0.34,9,2.74,0
CUST000248,5.68,11,0.82,0.4,0,3.78,0
CUST000249,6.17,11,0.59,0.18,2,1.37,0
CUST000250,18.43,12,0.14,0.48,4,2.78,0
CUST000251,4.52,20,0.54,0.44,4,3.93,0
CUST000252,16.32,17,0.66,0.35,3,4.4,1
CUST000253,5.74,24,0.49,0.11,6,4.95,0
CUST000254,18.94,25,0.04,0.35,3,4.7,0
CUST000255,4.43,21,0.57,0.46,7,1.14,0
CUST000256,14.25,1,0.3,0.46,1,4.88,0
CUST000257,18.94,13,0.47,0.43,3,4.38,0
CUST000258,7.06,19,0.83,0.02,5,3.39,1
CUST000259,5.37,17,0.12,0.04,5,3.79,0
CUST000260,7.46,24,0.72,0.03,8,2.26,1
CUST000261,11.25,23,0.79,0.16,7,3.5,1
CUST000262,17.83,9,0.62,0.12,3,1.1,1
CUST000263,17.53,7,0.02,0.44,5,3.12,0
CUST000264,18.84,18,0.8,0.5,2,2.4,1
CUST000265,15.58,24,0.4,0.24,7,3.51,1
CUST000266,17.6,19,0.98,0.38,8,2.67,0
CUST000267,9.01,4,0.74,0.12,3,1.44,1
CUST000268,7.74,12,0.29,0.15,2,1.93,0
CUST000269,1.8,23,0.02,0.49,8,2.71,1
CUST000270,8.3,2,0.68,0.11,0,4.8,0
CUST000271,15.94,23,0.09,0.21,2,4.52,0
CUST000272,18.95,25,0.47,0.31,7,1.67,1
CUST000273,19.83,1,0.23,0.47,9,3.6,0
CUST000274,12.55,16,0.51,0.12,7,1.71,1
CUST000275,5.19,2,0.19,0.39,4,2.4,0
CUST000276,2.1,16,0.97,0.44,1,4.71,0
CUST000277,19.9,13,0.17,0.2,7,4.03,1
CUST000278,14.22,21,0.15,0.41,10,1.9,1
CUST000279,5.25,5,0.54,0.3,9,3.32,0
CUST000280,2.74,3,0.88,0.13,3,1.52,1
CUST000281,17.89,25,0.96,0.43,6,4.24,0
CUST000282,13.45,20,0.55,0.04,3,2.63,0
CUST000283,8.08,13,0.26,0.36,7,2.98,0
CUST000284,2.54,10,0.22,0.34,9,1.3,0
CUST000285,17.17,10,0.5,0.24,9,3.37,0
CUST000286,16.67,20,0.35,0.34,1,3.26,0
CUST000287,6.07,7,0.88,0.4,10,3.63,1
CUST000288,17.16,22,0.87,0.35,1,4.35,1
CUST000289,14.25,6,0.68,0.31,8,4.01,1
CUST000290,4.01,1,0.88,0.44,6,1.12,1
CUST000291,16.69,20,0.13,0.17,7,3.97,0
CUST000292,4.05,8,0.82,0.42,4,3.03,0
CUST000293,1.12,23,0.29,0.31,7,4.92,1
CUST000294,13.0,8,0.26,0.32,4,3.16,0
CUST000295,15.82,21,0.11,0.38,9,3.17,0
CUST000296,19.3,7,0.34,0.32,6,4.73,1
CUST000297,2.95,8,0.94,0.34,10,1.27,1
CUST000298,6.72,9,0.71,0.03,2,3.33,1
CUST000299,7.57,6,0.62,0.02,4,4.49,0
CUST000300,19.5,19,0.97,0.37,4,1.52,1
CUST000301,15.41,15,0.02,0.01,4,2.29,0
CUST000302,10.28,9,0.77,0.34,8,2.78,0
CUST000303,6.2,15,1.0,0.21,1,2.81,0
CUST000304,4.11,14,0.79,0.35,5,1.88,1
CUST000305,2.57,1,0.68,0.33,1,2.09,1
CUST000306,19.07,22,0.15,0.22,9,4.77,0
CUST000307,8.97,1,0.64,0.2,10,2.1,0
CUST000308,19.7,19,0.41,0.45,0,1.92,0
CUST000309,5.05,6,0.03,0.33,7,2.47,0
CUST000310,17.42,15,0.47,0.48,4,1.74,1
CUST000311,17.5,19,0.78,0.39,6,4.38,0
CUST000312,15.46,16,0.63,0.07,1,1.13,1
CUST000313,18.5,14,0.62,0.4,5,2.93,0
CUST000314,3.23,4,0.13,0.34,2,2.72,0
CUST000315,4.81,23,0.49,0.03,7,3.33,1
CUST000316,6.11,13,0.8,0.16,8,2.82,1
CUST000317,1.22,3,0.07,0.2,5,2.92,0
CUST000318,12.4,4,0.29,0.35,6,4.44,0
CUST000319,15.82,1,0.04,0.24,10,1.42,0
CUST000320,5.6,15,0.99,0.07,6,3.0,1
CUST000321,12.74,17,0.7,0.28,5,1.04,1
CUST000322,7.2,16,0.52,0.04,10,2.4,1
CUST000323,1.63,2,0.08,0.2,3,1.53,1
CUST000324,11.78,5,0.69,0.4,4,1.8,1
CUST000325,4.18,23,0.1,0.32,7,3.83,1
CUST000326,1.6,21,0.94,0.03,9,3.17,0
CUST000327,14.47,23,0.87,0.36,2,4.21,0
CUST000328,7.45,1,0.81,0.04,8,4.58,0
CUST000329,11.4,8,0.82,0.23,1,3.57,1
CUST000330,11.0,4,0.73,0.04,10,1.24,0
CUST000331,5.69,16,0.16,0.44,4,1.88,0
CUST000332,19.54,9,0.34,0.09,6,4.16,0
CUST000333,13.52,16,0.5,0.28,3,3.88,0
CUST000334,5.34,5,1.0,0.49,6,3.6,1
CUST000335,4.79,20,0.68,0.04,8,1.12,1
CUST000336,5.9,5,0.46,0.43,1,3.91,1
CUST000337,15.11,14,0.43,0.17,5,2.48,0
CUST000338,19.77,17,0.04,0.43,4,3.31,0
CUST000339,9.33,10,0.73,0.24,4,4.49,0
CUST000340,18.11,19,0.42,0.14,10,3.37,0
CUST000341,18.33,5,0.21,0.31,7,3.53,0
CUST000342,14.93,12,0.13,0.36,5,4.64,0
CUST000343,4.41,18,0.24,0.49,6,1.72,0
CUST000344,17.23,11,0.49,0.12,3,4.48,0
CUST000345,9.46,8,0.51,0.18,9,3.37,0
CUST000346,4.11,25,0.39,0.48,6,2.03,1
CUST000347,13.48,24,0.33,0.39,7,1.52,0
CUST000348,19.43,13,0.45,0.12,6,1.29,0
CUST000349,4.23,21,0.52,0.17,2,4.32,0
CUST000350,9.19,2,0.25,0.31,2,3.83,0
CUST000351,4.17,19,0.17,0.02,5,3.95,0
CUST000352,13.61,15,0.47,0.42,1,4.22,0
CUST000353,12.12,15,0.87,0.1,0,1.45,0
CUST000354,6.13,14,0.06,0.27,10,4.75,0
CUST000355,1.75,3,0.12,0.23,7,4.74,0
CUST000356,7.01,9,0.51,0.02,5,1.59,0
CUST000357,19.75,13,0.97,0.0,10,4.81,1
CUST000358,13.14,11,0.87,0.23,10,3.06,0
CUST000359,10.29,13,0.67,0.07,5,1.12,0
CUST000360,6.85,25,0.7,0.1,7,3.69,0
CUST000361,19.43,2,0.09,0.34,9,2.78,1
CUST000362,17.49,21,0.18,0.35,10,4.35,0
CUST000363,18.95,8,0.68,0.25,1,3.47,0
CUST000364,17.51,4,0.57,0.02,10,4.72,0
CUST000365,14.1,4,0.68,0.11,7,3.64,1
CUST000366,8.48,10,0.65,0.05,0,3.63,1
CUST000367,19.99,2,0.05,0.49,4,2.63,0
CUST000368,17.54,14,0.78,0.28,2,3.95,1
CUST000369,17.69,14,0.4,0.16,9,3.67,0
CUST000370,16.35,6,0.76,0.4,2,2.74,1
CUST000371,16.54,20,0.12,0.27,6,1.02,0
CUST000372,7.17,8,0.37,0.2,7,3.78,0
CUST000373,8.38,5,0.45,0.12,3,2.49,0
CUST000374,5.32,9,0.07,0.3,7,3.67,1
CUST000375,12.77,1,0.46,0.19,7,4.45,0
CUST000376,10.86,22,0.48,0.01,8,2.36,1
CUST000377,8.22,15,0.4,0.29,5,3.13,0
CUST000378,12.55,10,0.76,0.41,10,3.87,0
CUST000379,19.15,23,0.02,0.1,4,1.03,0
CUST000380,13.3,10,0.9,0.12,3,4.71,0
CUST000381,2.15,16,0.93,0.18,1,1.41,1
CUST000382,10.23,19,0.26,0.14,5,2.23,0
CUST000383,16.26,23,0.54,0.16,4,3.44,1
CUST000384,14.61,22,0.27,0.21,6,1.49,0
CUST000385,4.44,19,0.68,0.09,10,3.1,0
CUST000386,14.47,2,0.11,0.28,9,2.03,0
CUST000387,19.3,10,0.48,0.4,3,3.2,0
CUST000388,1.82,12,0.63,0.48,3,3.41,0
CUST000389,16.56,20,0.88,0.11,4,1.85,0
CUST000390,12.61,24,0.41,0.42,10,4.6,0
CUST000391,7.72,5,0.24,0.39,10,2.1,1
CUST000392,16.63,21,0.42,0.33,10,1.38,1
CUST000393,12.85,15,0.45,0.29,0,1.67,0
CUST000394,15.0,24,0.86,0.11,2,1.38,1
CUST000395,1.45,10,0.64,0.3,5,3.19,0
CUST000396,5.41,6,0.39,0.3,3,2.99,1
CUST000397,19.77,18,0.14,0.35,5,2.62,0
CUST000398,9.14,9,0.72,0.35,2,4.97,1
CUST000399,3.44,16,0.1,0.36,4,3.31,0
CUST000400,6.21,11,0.08,0.04,1,4.58,0
CUST000401,4.65,3,0.32,0.11,2,2.42,0
CUST000402,2.32,8,0.52,0.03,10,4.2,0
CUST000403,5.44,13,0.54,0.44,8,3.6,0
CUST000404,11.13,13,0.32,0.17,0,3.68,0
CUST000405,19.89,4,0.66,0.28,7,3.92,0
CUST000406,9.84,24,0.06,0.28,10,4.83,0
CUST000407,4.33,13,0.69,0.1,10,3.14,0
CUST000408,2.84,4,0.45,0.38,10,2.39,1
CUST000409,13.63,1,0.8,0.46,9,1.94,0
CUST000410,8.59,18,0.15,0.5,5,4.71,0
CUST000411,11.26,8,0.84,0.26,10,3.49,1
CUST000412,2.69,15,0.76,0.06,4,4.3,1
CUST000413,15.86,4,0.71,0.02,2,2.21,1
CUST000414,6.0,2,0.36,0.04,4,4.75,0
CUST000415,11.52,4,0.31,0.2,1,2.79,0
CUST000416,12.41,18,0.52,0.46,2,2.99,0
CUST000417,19.85,12,0.85,0.1,10,4.72,0
CUST000418,3.21,23,0.82,0.19,8,4.51,1
CUST000419,17.49,24,0.81,0.4,2,2.22,0
CUST000420,2.54,21,0.4,0.09,1,3.78,0
CUST000421,7.58,20,0.98,0.32,6,4.29,0
CUST000422,3.52,9,0.86,0.46,0,2.95,0
CUST000423,12.52,7,0.76,0.09,7,3.01,1
CUST000424,8.57,8,0.15,0.18,5,1.27,1
CUST000425,1.49,22,0.14,0.48,5,3.2,0
CUST000426,19.35,21,0.43,0.16,5,3.02,1
CUST000427,9.35,9,0.11,0.32,3,1.86,0
CUST000428,12.77,15,0.65,0.08,1,1.25,0
CUST000429,15.83,21,0.46,0.03,10,4.98,0
CUST000430,2.1,1,0.7,0.49,0,1.96,0
CUST000431,3.7,8,0.12,0.15,2,1.4,0
CUST000432,14.15,7,0.06,0.25,1,4.99,0
CUST000433,16.47,18,0.62,0.15,3,3.5,0
CUST000434,11.01,8,0.43,0.07,5,4.55,0
CUST000435,9.55,20,0.19,0.18,0,2.66,0
CUST000436,16.72,5,0.73,0.38,2,1.04,1
CUST000437,8.91,6,0.48,0.01,1,2.04,0
CUST000438,15.45,1,0.14,0.27,2,1.86,1
CUST000439,1.23,8,0.24,0.49,9,4.21,0
CUST000440,19.23,6,0.49,0.05,4,3.19,1
CUST000441,9.63,24,0.84,0.05,6,2.95,0
CUST000442,3.85,24,0.32,0.37,1,2.9,0
CUST000443,8.14,25,0.39,0.23,5,4.14,0
CUST000444,17.95,4,0.96,0.39,7,2.26,0
CUST000445,14.07,20,0.44,0.13,0,4.36,0
CUST000446,1.73,22,0.9,0.23,8,3.55,1
CUST000447,13.53,21,0.9,0.32,0,3.46,1
CUST000448,2.27,16,0.52,0.08,6,3.95,0
CUST000449,10.73,4,0.68,0.02,7,1.34,0
CUST000450,14.61,15,0.07,0.04,1,1.05,0
CUST000451,19.17,11,0.74,0.18,9,2.19,1
CUST000452,7.64,5,0.77,0.33,4,1.74,1
CUST000453,4.31,19,0.1,0.33,8,4.06,0
CUST000454,6.04,13,0.02,0.04,9,4.87,0
CUST000455,6.61,15,0.77,0.31,8,2.53,0
CUST000456,4.91,4,0.12,0.31,1,4.1,0
CUST000457,13.23,21,0.53,0.02,8,4.87,0
CUST000458,16.18,7,0.29,0.49,6,3.41,0
CUST000459,12.07,8,0.75,0.41,6,3.63,1
CUST000460,3.43,15,0.34,0.46,6,1.9,0
CUST000461,8.07,4,0.43,0.22,5,3.45,0
CUST000462,18.92,22,0.24,0.06,4,1.79,0
CUST000463,17.85,5,0.65,0.14,10,4.26,0
CUST000464,17.37,3,0.85,0.46,1,2.01,0
CUST000465,15.35,3,0.46,0.42,6,3.91,1
CUST000466,15.75,24,0.66,0.09,5,3.18,0
CUST000467,19.71,18,0.94,0.02,0,1.66,0
CUST000468,3.5,18,0.73,0.41,8,1.85,1
CUST000469,10.61,4,0.84,0.37,6,3.17,1
CUST000470,12.22,22,0.51,0.15,6,3.26,0
CUST000471,14.09,24,0.87,0.32,0,4.04,0
CUST000472,4.04,20,0.46,0.0,4,1.99,1
CUST000473,14.8,19,0.99,0.05,8,2.61,1
CUST000474,16.2,22,0.2,0.28,7,3.93,1
CUST000475,12.7,4,0.19,0.18,5,4.14,0
CUST000476,11.53,12,0.01,0.38,1,1.14,0
CUST000477,15.17,19,0.2,0.48,3,2.47,0
CUST000478,7.21,18,0.15,0.15,9,4.51,0
CUST000479,19.93,21,0.37,0.22,8,3.89,1
CUST000480,17.84,22,0.59,0.2,4,2.65,1
CUST000481,14.22,9,0.0,0.31,4,2.42,0
CUST000482,16.09,12,0.09,0.29,0,2.92,1
CUST000483,13.2,5,0.06,0.29,9,3.25,0
CUST000484,11.65,3,0.6,0.34,2,4.22,0
CUST000485,6.13,1,0.83,0.25,1,1.31,0
CUST000486,2.11,7,0.33,0.39,6,3.83,0
CUST000487,15.98,11,0.52,0.22,2,1.59,0
CUST000488,7.24,24,0.43,0.04,5,1.88,0
CUST000489,12.37,19,0.74,0.5,9,4.73,1
CUST000490,13.21,2,0.42,0.32,2,4.14,0
CUST000491,3.25,20,0.41,0.42,0,2.54,0
CUST000492,11.87,9,0.59,0.09,7,2.45,0
CUST000493,7.36,16,0.03,0.01,9,4.33,0
CUST000494,6.19,9,0.52,0.15,3,4.76,0
CUST000495,5.93,4,0.43,0.44,5,4.37,0
CUST000496,4.54,10,0.8,0.23,10,2.93,0
